Time,Value,Factor,Baseline,Mass,Mass_smooth,Mass_derivative_smooth,ts,Mass_sigmoid,Flow_rate
2023-10-18 08:57:58.765923,390801,6.862879436681862,390902.3181818182,-1.7485372008519349,-3.354565417385359,-1.0952375873468263,12.213526964187622,-2.0568746995704714,-0.0025287219524995777
2023-10-18 08:57:58.965794,390807,6.862879436681862,390902.3181818182,-0.8742686004259674,-4.802072404171195,-1.447506986785836,12.413398027420044,-2.0575162169203622,-0.0032096559627784868
2023-10-18 08:57:59.165336,390803,6.862879436681862,390902.3181818182,-1.457114334043279,-6.320033270844867,-1.517960866673672,12.612940073013306,-2.05832917907469,-0.004074139622607094
2023-10-18 08:57:59.366647,390706,6.862879436681862,390902.3181818182,-15.591123374263079,-8.066969247153892,-1.7469359763090253,12.814250946044922,-2.059371196825282,-0.005176162295160501
2023-10-18 08:57:59.566456,390666,6.862879436681862,390902.3181818182,-21.419580710436186,-9.998046045896956,-1.9310767987430637,13.014060020446777,-2.060685301187732,-0.006576800209819948
2023-10-18 08:57:59.766213,390750,6.862879436681862,390902.3181818182,-9.179820304472655,-12.175711424247346,-2.1776653783503903,13.213817119598389,-2.0623530662650182,-0.008348965240131359
2023-10-18 08:57:59.966180,390724,6.862879436681862,390902.3181818182,-12.968317572985177,-14.551928645917933,-2.3762172216705864,13.41378402709961,-2.064472653905341,-0.010599692053094674
2023-10-18 08:58:00.165971,390765,6.862879436681862,390902.3181818182,-6.994148803407738,-17.217967509854255,-2.666038863936322,13.613574981689453,-2.0671612969828175,-0.01345728130182978
2023-10-18 08:58:00.366427,390733,6.862879436681862,390902.3181818182,-11.656914672346227,-20.034521480823607,-2.816553970969352,13.814030885696411,-2.0705871921729795,-0.017090517773141235
2023-10-18 08:58:00.566096,390697,6.862879436681862,390902.3181818182,-16.90252627490203,-23.305823221977917,-3.2713017411543106,14.013699769973755,-2.0749204520949434,-0.021702229356602678
2023-10-18 08:58:00.765978,390771,6.862879436681862,390902.3181818182,-6.11988020298177,-26.780480480081152,-3.4746572581032353,14.213582038879395,-2.0804270912528864,-0.02754941290236504
2023-10-18 08:58:00.966157,390758,6.862879436681862,390902.3181818182,-8.014128837238031,-30.540155706821373,-3.759675226740221,14.413760900497437,-2.087429835049875,-0.03498243391127989
2023-10-18 08:58:01.175902,390739,6.862879436681862,390902.3181818182,-10.78264607192026,-34.56563420768379,-4.02547850086242,14.62350583076477,-2.0968039438117785,-0.04469289794015888
2023-10-18 08:58:01.365753,390725,6.862879436681862,390902.3181818182,-12.82260613958085,-38.92096496438458,-4.355330756700788,14.81335711479187,-2.1075698669855,-0.0567071391109731
2023-10-18 08:58:01.565957,390714,6.862879436681862,390902.3181818182,-14.425431907028456,-43.54690266883625,-4.6259377044516725,15.013561010360718,-2.1219028918992535,-0.07159213797028481
2023-10-18 08:58:01.765233,390719,6.862879436681862,390902.3181818182,-13.696874740006818,-48.355379971179076,-4.808477302342823,15.212836742401123,-2.1400108003557534,-0.09086860839045031
2023-10-18 08:58:01.966068,390748,6.862879436681862,390902.3181818182,-9.47124317128131,-53.388028709528555,-5.032648738349479,15.413671970367432,-2.1631836953597485,-0.1153826210602978
2023-10-18 08:58:02.166474,390749,6.862879436681862,390902.3181818182,-9.32553173787698,-58.619229291198224,-5.231200581669668,15.614077806472778,-2.192562579563173,-0.14659694934223924
2023-10-18 08:58:02.366410,390744,6.862879436681862,390902.3181818182,-10.054088904898622,-64.14825763784815,-5.529028346649923,15.814013957977295,-2.229780243369987,-0.1861477453014457
2023-10-18 08:58:02.577709,390798,6.862879436681862,390902.3181818182,-2.185671501064917,-69.8213961933595,-5.673138555511358,16.025312900543213,-2.280062100569353,-0.23796549376331844
2023-10-18 08:58:02.766323,390785,6.862879436681862,390902.3181818182,-4.07992013532118,-75.76354047207884,-5.94214427871934,16.213926792144775,-2.3370034461507885,-0.3018936998644902
2023-10-18 08:58:02.966137,390807,6.862879436681862,390902.3181818182,-0.8742686004259674,-81.78894842702923,-6.025407954950381,16.41374111175537,-2.413063247989612,-0.38065240763050084
2023-10-18 08:58:03.166343,390766,6.862879436681862,390902.3181818182,-6.848437370003408,-87.97287761172726,-6.18392918469803,16.61394691467285,-2.5097855234155304,-0.48311424552356574
2023-10-18 08:58:03.366486,390779,6.862879436681862,390902.3181818182,-4.954188735747147,-94.43381864234767,-6.460941030620418,16.81409001350403,-2.632510250716223,-0.6131849062865378
2023-10-18 08:58:03.579808,390802,6.862879436681862,390902.3181818182,-1.602825767447607,-101.06609069905892,-6.632272056711244,17.027411937713623,-2.799858059216035,-0.7844848068002072
2023-10-18 08:58:03.767317,390810,6.862879436681862,390902.3181818182,-0.4371343002129837,-107.94174888629173,-6.8756581872328155,17.21492099761963,-2.986424554072755,-0.9949732292948495
2023-10-18 08:58:03.980765,390847,6.862879436681862,390902.3181818182,4.954188735747147,-114.97112462964341,-7.029375743351679,17.42836880683899,-3.256052820147829,-1.2632046543892
2023-10-18 08:58:04.181127,390841,6.862879436681862,390902.3181818182,4.07992013532118,-122.14140813277066,-7.170283503127251,17.62873077392578,-3.5794229831265056,-1.613929867431379
2023-10-18 08:58:04.380899,390769,6.862879436681862,390902.3181818182,-6.411303069790426,-129.42697980298698,-7.285571670216314,17.828503131866455,-3.9879664115509286,-2.045044833208344
2023-10-18 08:58:04.581746,390801,6.862879436681862,390902.3181818182,-1.7485372008519349,-136.91590699015234,-7.488927187165359,18.02934980392456,-4.508290008972722,-2.5906508287638554
2023-10-18 08:58:04.781991,390778,6.862879436681862,390902.3181818182,-5.099900169151473,-144.49290152717734,-7.576994537025001,18.229594945907593,-5.165131181421202,-3.2801853065885505
2023-10-18 08:58:04.982992,390794,6.862879436681862,390902.3181818182,-2.7685172346822284,-152.18038055766277,-7.687479030485434,18.430595874786377,-5.999259082914477,-4.14987087943412
2023-10-18 08:58:05.183049,390799,6.862879436681862,390902.3181818182,-2.039960067660589,-160.01997591972423,-7.839595362061459,18.630652904510498,-7.048193573359299,-5.243177367430196
